payroll_id,employee_id,company_id,department_id,pay_period_start,pay_period_end,pay_date,gross_salary,bonus,overtime_pay,commission,allowances,tax_deduction,social_security,health_insurance,retirement_contribution,other_deductions,payment_method,status,net_salary
39,10223,2,17,11-11-2025 00:00,11-12-2025 00:00,11-12-2025 00:00,4937.04,0,294.33,0,764.61,987.41,306.1,240.97,246.85,114.28,Cash,Paid,4100.37
40,10764,1,5,11-04-2025 00:00,11-05-2025 00:00,11-05-2025 00:00,10888.01,0,968.4,0,254.03,2177.6,675.06,320.08,544.4,197.13,Check,Processing,8196.17
41,10193,1,9,28-09-2025 00:00,28-10-2025 00:00,28-10-2025 00:00,10907.91,4047.27,0,0,655.12,2181.58,676.29,227.18,545.4,51.73,Check,Paid,11928.12
42,10414,1,19,05-07-2025 00:00,04-08-2025 00:00,04-08-2025 00:00,4572.74,3396.18,681.62,0,745.88,914.55,283.51,289.34,228.64,271.9,Check,Processing,7408.48
43,11688,1,2,03-09-2025 00:00,03-10-2025 00:00,03-10-2025 00:00,7578.24,0,0,0,819.87,1515.65,469.85,522.12,378.91,360.84,Check,Processing,5150.74
44,11384,1,17,09-08-2025 00:00,08-09-2025 00:00,08-09-2025 00:00,5223.24,2103.37,0,2119.54,47.56,1044.65,323.84,669.17,261.16,332.83,Cash,Paid,6862.06
45,10903,2,18,23-07-2025 00:00,22-08-2025 00:00,22-08-2025 00:00,9567.49,0,222.71,0,583.42,1913.5,593.18,257.84,478.37,198.1,Cash,Pending,6932.63
46,10508,2,3,10-03-2025 00:00,09-04-2025 00:00,09-04-2025 00:00,11911.1,0,989.09,0,375.33,2382.22,738.49,275.71,595.56,451.71,Cash,Pending,8831.83
47,11485,1,9,12-07-2025 00:00,11-08-2025 00:00,11-08-2025 00:00,5427.16,3165.56,0,0,639.97,1085.43,336.48,799.52,271.36,69.17,Cash,Pending,6670.73
48,10398,2,5,14-02-2025 00:00,16-03-2025 00:00,16-03-2025 00:00,6380.83,879.68,762.74,0,514.75,1276.17,395.61,458.15,319.04,399.16,Check,Paid,5689.87
49,11284,1,14,02-07-2025 00:00,01-08-2025 00:00,01-08-2025 00:00,12071.18,0,1664,0,225.45,2414.24,748.41,204.17,603.56,453.18,Check,Pending,9537.07
50,10330,1,17,14-09-2025 00:00,14-10-2025 00:00,14-10-2025 00:00,11815.49,0,0,0,987.6,2363.1,732.56,386.85,590.77,309.84,Cash,Pending,8419.97
51,10038,2,2,13-10-2025 00:00,12-11-2025 00:00,12-11-2025 00:00,5627.19,0,1321.68,0,293.99,1125.44,348.89,414.77,281.36,111.2,Cash,Processing,4961.2
52,11254,1,17,25-01-2025 00:00,24-02-2025 00:00,24-02-2025 00:00,5444.06,4949.47,1599.16,0,538.3,1088.81,337.53,769.17,272.2,418.46,Bank Transfer,Processing,9644.82
53,11501,1,3,07-05-2025 00:00,06-06-2025 00:00,06-06-2025 00:00,8605.74,0,0,0,302.83,1721.15,533.56,418.06,430.29,385.1,Check,Paid,5420.41
54,11164,2,15,24-07-2025 00:00,23-08-2025 00:00,23-08-2025 00:00,7559.96,0,1835.22,0,748.57,1511.99,468.72,392.62,378,330.67,Cash,Paid,7061.75
55,10694,2,8,20-01-2025 00:00,19-02-2025 00:00,19-02-2025 00:00,4415.33,821.75,965.61,0,894.81,883.07,273.75,299.69,220.77,69.72,Cash,Processing,5350.5
56,11177,2,4,20-08-2025 00:00,19-09-2025 00:00,19-09-2025 00:00,9798.74,0,0,1911.2,572.39,1959.75,607.52,625.19,489.94,66.26,Check,Paid,8533.67
57,10139,2,7,31-10-2025 00:00,30-11-2025 00:00,30-11-2025 00:00,10634.08,0,1242.32,2980.62,498.19,2126.82,659.31,587.34,531.7,58.97,Check,Processing,11391.07
58,10177,2,19,06-01-2025 00:00,05-02-2025 00:00,05-02-2025 00:00,11895.13,0,581.39,1551.01,751.03,2379.03,737.5,678.71,594.76,255.12,Check,Processing,10133.44
59,10606,2,6,13-05-2025 00:00,12-06-2025 00:00,12-06-2025 00:00,11113.38,0,0,0,406.44,2222.68,689.03,419.74,555.67,337.49,Bank Transfer,Paid,7295.21
60,11329,2,11,12-02-2025 00:00,14-03-2025 00:00,14-03-2025 00:00,8155.18,114.37,1954.93,0,519.8,1631.04,505.62,705.5,407.76,242.82,Bank Transfer,Paid,7251.54
61,10590,2,5,19-12-2025 00:00,18-01-2026 00:00,18-01-2026 00:00,12256.98,129.36,497.39,0,161.25,2451.4,759.93,725.03,612.85,401.17,Bank Transfer,Processing,8094.6
62,10351,1,17,16-04-2025 00:00,16-05-2025 00:00,16-05-2025 00:00,5291.41,0,0,0,512.97,1058.28,328.07,364.43,264.57,312.54,Check,Pending,3476.49
63,11594,1,14,14-11-2025 00:00,14-12-2025 00:00,14-12-2025 00:00,3596.5,743.98,1846.94,364.53,309.79,719.3,222.98,524.08,179.83,314.33,Bank Transfer,Processing,4901.22
64,11082,2,13,22-04-2025 00:00,22-05-2025 00:00,22-05-2025 00:00,11660.21,1410.8,0,9.91,198.59,2332.04,722.93,337.21,583.01,178.21,Check,Pending,9126.11
65,11278,1,20,30-03-2025 00:00,29-04-2025 00:00,29-04-2025 00:00,8039.03,1228.9,0,0,39.08,1607.81,498.42,432.18,401.95,26.11,Cash,Pending,6340.54
66,10897,2,1,19-10-2025 00:00,18-11-2025 00:00,18-11-2025 00:00,5374.77,2767.45,0,0,241.44,1074.95,333.24,245.12,268.74,268.79,Check,Paid,6192.82
67,10646,2,14,24-02-2025 00:00,26-03-2025 00:00,26-03-2025 00:00,5762.38,0,0,0,710.81,1152.48,357.27,695.08,288.12,68.76,Cash,Processing,3911.48
68,10229,1,11,16-01-2025 00:00,15-02-2025 00:00,15-02-2025 00:00,3873.3,0,0,0,829.94,774.66,240.14,605.38,193.67,238.68,Bank Transfer,Pending,2650.71
69,11408,1,16,14-01-2025 00:00,13-02-2025 00:00,13-02-2025 00:00,4725.42,0,0,0,7.79,945.08,292.98,495.83,236.27,55.26,Cash,Paid,2707.79
70,10052,1,15,18-03-2025 00:00,17-04-2025 00:00,17-04-2025 00:00,12169.12,0,300.46,0,824.82,2433.82,754.49,636.57,608.46,55.28,Bank Transfer,Paid,8805.78
71,11566,2,16,12-10-2025 00:00,11-11-2025 00:00,11-11-2025 00:00,11894.08,286.57,1184.31,0,529.48,2378.82,737.43,642.58,594.7,445.77,Bank Transfer,Pending,9095.14
72,10568,2,8,05-04-2025 00:00,05-05-2025 00:00,05-05-2025 00:00,10214.29,0,0,0,986,2042.86,633.29,559.98,510.71,5.15,Cash,Paid,7448.3
73,11308,2,11,30-03-2025 00:00,29-04-2025 00:00,29-04-2025 00:00,7965.6,0,99.31,1630.85,742.13,1593.12,493.87,737.35,398.28,466.61,Cash,Processing,6748.66
74,11149,2,4,11-03-2025 00:00,10-04-2025 00:00,10-04-2025 00:00,3406.84,0,178.48,0,874.33,681.37,211.22,266.15,170.34,260.13,Check,Paid,2870.44
75,10239,2,10,01-05-2025 00:00,31-05-2025 00:00,31-05-2025 00:00,7505.25,0,0,2508.51,111.62,1501.05,465.33,675.32,375.26,40.64,Cash,Processing,7067.78
76,10223,2,12,06-04-2025 00:00,06-05-2025 00:00,06-05-2025 00:00,12399.29,0,1674.2,0,788.09,2479.86,768.76,248.13,619.96,206.83,Bank Transfer,Paid,10538.04
77,11027,2,14,23-11-2025 00:00,23-12-2025 00:00,23-12-2025 00:00,5533.62,0,0,0,938.27,1106.72,343.08,259.05,276.68,171.05,Check,Pending,4315.31
78,10815,1,4,29-09-2025 00:00,29-10-2025 00:00,29-10-2025 00:00,6843.01,0,1800.51,0,945.71,1368.6,424.27,387.72,342.15,406.52,Check,Paid,6659.97
79,11279,1,4,25-11-2025 00:00,25-12-2025 00:00,25-12-2025 00:00,3714.87,4184.92,356.89,1390.76,28.13,742.97,230.32,784.65,185.74,48.49,Check,Paid,7683.4
80,11464,1,11,04-07-2025 00:00,03-08-2025 00:00,03-08-2025 00:00,7856.73,0,1609.65,0,112.97,1571.35,487.12,498.84,392.84,7.3,Check,Pending,6621.9
81,10559,1,19,25-08-2025 00:00,24-09-2025 00:00,24-09-2025 00:00,3456,0,0,0,889.47,691.2,214.27,465.14,172.8,55.68,Cash,Paid,2746.38
82,11669,2,11,10-03-2025 00:00,09-04-2025 00:00,09-04-2025 00:00,2697.75,0,1037.45,0,764.7,539.55,167.26,676.03,134.89,146.78,Check,Processing,2835.39
83,10433,1,12,19-06-2025 00:00,19-07-2025 00:00,19-07-2025 00:00,8558.03,500.31,11.7,0,464.61,1711.61,530.6,480.53,427.9,90.31,Cash,Paid,6293.7
84,10439,1,13,17-09-2025 00:00,17-10-2025 00:00,17-10-2025 00:00,9034.32,0,1812.19,2109.54,40.97,1806.86,560.13,717.46,451.72,94.25,Bank Transfer,Paid,9366.6
85,11446,1,19,22-10-2025 00:00,21-11-2025 00:00,21-11-2025 00:00,9353.83,0,1588.77,0,108.55,1870.77,579.94,744.64,467.69,138.51,Cash,Processing,7249.6
86,10114,2,15,20-01-2025 00:00,19-02-2025 00:00,19-02-2025 00:00,12134.15,1279.22,0,0,179.58,2426.83,752.32,427.57,606.71,340,Cash,Pending,9039.52
87,10587,2,14,28-11-2025 00:00,28-12-2025 00:00,28-12-2025 00:00,3363.15,1927.39,0,2244.28,511.94,672.63,208.52,399.96,168.16,72.7,Cash,Pending,6524.79
88,10085,1,10,16-07-2025 00:00,15-08-2025 00:00,15-08-2025 00:00,5164.03,0,0,0,22.24,1032.81,320.17,448.44,258.2,413.62,Bank Transfer,Pending,2713.03
89,11435,1,10,11-02-2025 00:00,13-03-2025 00:00,13-03-2025 00:00,6250.95,2682.11,0,0,224.87,1250.19,387.56,651.44,312.55,149.07,Bank Transfer,Paid,6407.12
90,11379,2,19,17-03-2025 00:00,16-04-2025 00:00,16-04-2025 00:00,7324.24,0,0,0,912.69,1464.85,454.1,249.56,366.21,85.21,Check,Pending,5617
91,11527,1,8,04-03-2025 00:00,03-04-2025 00:00,03-04-2025 00:00,8043.18,4726.11,679.11,0,390.64,1608.64,498.68,689.5,402.16,407.45,Check,Paid,10232.61
92,10501,1,1,28-02-2025 00:00,30-03-2025 00:00,30-03-2025 00:00,5200.19,0,0,0,992.81,1040.04,322.41,440.22,260.01,392.89,Cash,Paid,3737.43
93,11430,2,9,17-07-2025 00:00,16-08-2025 00:00,16-08-2025 00:00,3080.17,0,0,0,544.49,616.03,190.97,409.99,154.01,235.17,Check,Pending,2018.49
94,10401,1,9,18-04-2025 00:00,18-05-2025 00:00,18-05-2025 00:00,2621.54,4578.38,1441.54,0,137.88,524.31,162.54,783.87,131.08,379.08,Bank Transfer,Processing,6798.46
95,10856,1,16,16-11-2025 00:00,16-12-2025 00:00,16-12-2025 00:00,7892.12,0,0,0,203.52,1578.42,489.31,499.38,394.61,73.22,Bank Transfer,Pending,5060.7
96,10566,1,10,29-09-2025 00:00,29-10-2025 00:00,29-10-2025 00:00,5480.1,0,0,0,62.24,1096.02,339.77,309,274.01,404.4,Check,Paid,3119.14
97,11232,2,16,14-06-2025 00:00,14-07-2025 00:00,14-07-2025 00:00,10900.87,4680.81,0,0,130.74,2180.17,675.85,628.91,545.04,370.83,Cash,Pending,11311.62
98,10743,1,19,26-12-2025 00:00,25-01-2026 00:00,25-01-2026 00:00,5897.58,2853.9,908.56,37.51,851.96,1179.52,365.65,551.76,294.88,348.21,Bank Transfer,Paid,7809.49
99,10309,2,5,06-08-2025 00:00,05-09-2025 00:00,05-09-2025 00:00,6683.39,0,829.47,0,377.35,1336.68,414.37,738.29,334.17,104.36,Bank Transfer,Pending,4962.34
100,11286,2,6,16-11-2025 00:00,16-12-2025 00:00,16-12-2025 00:00,9236.27,0,0,349.91,890.33,1847.25,572.65,671.64,461.81,214.75,Check,Paid,6708.41
101,11535,2,12,22-04-2025 00:00,22-05-2025 00:00,22-05-2025 00:00,6567.37,4633.29,202.57,2603.95,698.88,1313.47,407.18,593.95,328.37,268.81,Bank Transfer,Paid,11794.28
102,10327,1,16,09-12-2025 00:00,08-01-2026 00:00,08-01-2026 00:00,6860.03,0,1322.15,0,729.75,1372.01,425.32,542.36,343,354.52,Bank Transfer,Processing,5874.72
103,10215,1,4,14-09-2025 00:00,14-10-2025 00:00,14-10-2025 00:00,5992.18,4762.04,0,0,784.87,1198.44,371.52,344.58,299.61,373.23,Cash,Paid,8951.71
104,11412,1,20,15-11-2025 00:00,15-12-2025 00:00,15-12-2025 00:00,6785.08,0,0,0,348.42,1357.02,420.67,466.29,339.25,251.8,Cash,Pending,4298.47
105,11557,2,1,05-01-2025 00:00,04-02-2025 00:00,04-02-2025 00:00,6876.09,0,0,0,709.28,1375.22,426.32,695.59,343.8,53.6,Bank Transfer,Processing,4690.84
106,11698,2,12,18-09-2025 00:00,18-10-2025 00:00,18-10-2025 00:00,8028.26,2507.34,0,0,358.37,1605.65,497.75,386.54,401.41,472.56,Bank Transfer,Pending,7530.06
107,10792,2,20,28-01-2025 00:00,27-02-2025 00:00,27-02-2025 00:00,7075.77,0,1521.55,0,434.9,1415.15,438.7,507.53,353.79,388.97,Check,Paid,5928.08
108,11254,2,11,23-09-2025 00:00,23-10-2025 00:00,23-10-2025 00:00,9566.07,0,913.08,0,872.54,1913.21,593.1,331.28,478.3,8.39,Bank Transfer,Processing,8027.41
109,11690,1,5,01-01-2025 00:00,31-01-2025 00:00,31-01-2025 00:00,9047.83,927.44,0,2482.97,525.86,1809.57,560.97,654.92,452.39,197.98,Cash,Pending,9308.27
110,11390,2,19,16-09-2025 00:00,16-10-2025 00:00,16-10-2025 00:00,8629.38,0,0,2458.1,346.65,1725.88,535.02,795.62,431.47,208.84,Bank Transfer,Pending,7737.3
111,10139,1,20,02-01-2025 00:00,01-02-2025 00:00,01-02-2025 00:00,11622.7,1933.03,0,0,993.04,2324.54,720.61,201.64,581.14,205.89,Cash,Paid,10514.95
112,10206,1,14,14-09-2025 00:00,14-10-2025 00:00,14-10-2025 00:00,2954.26,0,0,0,967.34,590.85,183.16,332.61,147.71,146.88,Check,Paid,2520.39
113,10376,2,17,18-04-2025 00:00,18-05-2025 00:00,18-05-2025 00:00,7899.55,0,0,0,805.8,1579.91,489.77,591.21,394.98,70.42,Cash,Pending,5579.06
114,11363,1,12,07-12-2025 00:00,06-01-2026 00:00,06-01-2026 00:00,6672.2,0,0,0,532.65,1334.44,413.68,205.76,333.61,219.33,Check,Pending,4698.03
115,11069,2,2,11-09-2025 00:00,11-10-2025 00:00,11-10-2025 00:00,9948.37,0,0,0,219.01,1989.67,616.8,210.39,497.42,69.85,Cash,Pending,6783.25
116,10775,2,11,01-11-2025 00:00,01-12-2025 00:00,01-12-2025 00:00,9709.3,2189.85,0,170.32,203.06,1941.86,601.98,259.21,485.46,399.7,Bank Transfer,Pending,8584.32
117,10256,2,11,21-08-2025 00:00,20-09-2025 00:00,20-09-2025 00:00,12330.05,0,0,0,997.1,2466.01,764.46,624.71,616.5,279.88,Cash,Paid,8575.59
118,11281,1,20,23-10-2025 00:00,22-11-2025 00:00,22-11-2025 00:00,7520.7,0,0,2467.89,130.84,1504.14,466.28,690.76,376.04,224.48,Bank Transfer,Processing,6857.73
119,10252,2,18,17-03-2025 00:00,16-04-2025 00:00,16-04-2025 00:00,2842.21,0,0,0,911.54,568.44,176.22,338.13,142.11,361.69,Cash,Paid,2167.16
120,10476,1,17,18-12-2025 00:00,17-01-2026 00:00,17-01-2026 00:00,5678.19,0,0,0,730.83,1135.64,352.05,234.18,283.91,168.35,Cash,Pending,4234.89
121,10247,2,1,08-06-2025 00:00,08-07-2025 00:00,08-07-2025 00:00,6974.26,0,1266.57,0,240.06,1394.85,432.4,541.66,348.71,463.53,Bank Transfer,Pending,5299.74
122,10121,2,19,29-03-2025 00:00,28-04-2025 00:00,28-04-2025 00:00,5605.02,0,0,0,198.69,1121,347.51,711.26,280.25,374.05,Cash,Pending,2969.64
123,11438,2,7,03-02-2025 00:00,05-03-2025 00:00,05-03-2025 00:00,3395.78,0,1683.05,0,174.16,679.16,210.54,353.44,169.79,98.32,Cash,Paid,3741.74
124,10686,2,1,16-05-2025 00:00,15-06-2025 00:00,15-06-2025 00:00,9461.23,0,0,0,437.28,1892.25,586.6,762.4,473.06,233.56,Bank Transfer,Pending,5950.64
125,10474,2,2,08-09-2025 00:00,08-10-2025 00:00,08-10-2025 00:00,6632.23,0,541.41,0,626.63,1326.45,411.2,254.08,331.61,23.7,Check,Paid,5453.23
126,11178,2,10,04-08-2025 00:00,03-09-2025 00:00,03-09-2025 00:00,11722.55,0,0,1506.93,610.43,2344.51,726.8,522.27,586.13,258.17,Bank Transfer,Pending,9402.03
127,11026,2,10,03-06-2025 00:00,03-07-2025 00:00,03-07-2025 00:00,10139.21,0,0,0,41.27,2027.84,628.63,790.76,506.96,491.42,Check,Processing,5734.87
128,10159,2,1,17-08-2025 00:00,16-09-2025 00:00,16-09-2025 00:00,2765.9,0,1174.64,0,681.67,553.18,171.49,604.01,138.3,468.26,Bank Transfer,Processing,2686.97
129,11624,1,9,06-02-2025 00:00,08-03-2025 00:00,08-03-2025 00:00,10130.01,0,0,0,763.66,2026,628.06,567.3,506.5,102.56,Cash,Paid,7063.25
130,10951,2,7,08-12-2025 00:00,07-01-2026 00:00,07-01-2026 00:00,4003.99,2116.09,1318.45,0,956.41,800.8,248.25,659.83,200.2,315.68,Check,Pending,6170.18
131,10393,1,14,14-03-2025 00:00,13-04-2025 00:00,13-04-2025 00:00,8768.69,0,0,0,887.16,1753.74,543.66,665.38,438.43,118.57,Check,Paid,6136.07
132,11167,2,2,03-11-2025 00:00,03-12-2025 00:00,03-12-2025 00:00,8909.13,0,0,0,411.43,1781.83,552.37,342.84,445.46,218.74,Check,Paid,5979.32
133,10368,2,7,03-01-2025 00:00,02-02-2025 00:00,02-02-2025 00:00,3878.4,1178.15,0,0,78.4,775.68,240.46,532.71,193.92,129.97,Cash,Paid,3262.21
134,11153,2,2,09-03-2025 00:00,08-04-2025 00:00,08-04-2025 00:00,6353.41,0,1468.49,0,901.69,1270.68,393.91,297.32,317.67,496.48,Check,Processing,5947.53
135,11099,1,1,12-06-2025 00:00,12-07-2025 00:00,12-07-2025 00:00,10088.95,0,403.68,2866.42,133.73,2017.79,625.51,488.22,504.45,375.24,Check,Pending,9481.57
136,10947,1,16,24-05-2025 00:00,23-06-2025 00:00,23-06-2025 00:00,8983.1,0,0,1174.84,60.85,1796.62,556.95,234.7,449.16,100.49,Check,Pending,7080.87
137,10215,2,20,27-01-2025 00:00,26-02-2025 00:00,26-02-2025 00:00,4418.64,3914.12,259.51,0,389.86,883.73,273.96,705.21,220.93,46.48,Check,Pending,6851.82
138,10843,2,9,04-09-2025 00:00,04-10-2025 00:00,04-10-2025 00:00,9256.74,0,0,0,19.03,1851.35,573.92,621.49,462.84,216.04,Check,Processing,5550.13
139,10318,2,15,23-10-2025 00:00,22-11-2025 00:00,22-11-2025 00:00,11786.07,3112.41,457.96,0,157.06,2357.21,730.74,212.17,589.3,438.85,Check,Pending,11185.23
140,10503,2,17,01-01-2025 00:00,31-01-2025 00:00,31-01-2025 00:00,11465.81,0,0,0,919.79,2293.16,710.88,555.2,573.29,254.89,Bank Transfer,Paid,7998.18
141,11344,2,20,25-11-2025 00:00,25-12-2025 00:00,25-12-2025 00:00,5651.37,0,0,2545.97,137.91,1130.27,350.38,211.78,282.57,364.87,Cash,Paid,5995.38
142,11303,2,11,17-02-2025 00:00,19-03-2025 00:00,19-03-2025 00:00,5865.5,0,128.24,0,368.74,1173.1,363.66,701.87,293.28,302.77,Check,Processing,3527.8
143,11163,2,7,30-06-2025 00:00,30-07-2025 00:00,30-07-2025 00:00,5339.32,279.02,175.76,0,316.65,1067.86,331.04,452.77,266.97,79.43,Cash,Paid,3912.68
144,10802,2,2,31-08-2025 00:00,30-09-2025 00:00,30-09-2025 00:00,6289.54,0,0,0,125.76,1257.91,389.95,706.02,314.48,436.96,Check,Processing,3309.98
145,11628,2,6,15-02-2025 00:00,17-03-2025 00:00,17-03-2025 00:00,8606.34,0,0,0,484.91,1721.27,533.59,426.97,430.32,174.61,Check,Processing,5804.49
146,10287,2,1,03-05-2025 00:00,02-06-2025 00:00,02-06-2025 00:00,12132.7,0,0,0,751.47,2426.54,752.23,615.28,606.64,116.79,Cash,Processing,8366.69
147,10653,2,7,28-07-2025 00:00,27-08-2025 00:00,27-08-2025 00:00,11518.63,1357.38,0,0,700.36,2303.73,714.16,526.69,575.93,425.31,Cash,Processing,9030.55
